sample_names,mean,median,sd,quantile0.025,quantile0.975
1801028582,1,1,0,1,1
2105078101,1,1,0,1,1
2301090459,1,1,0,1,1
1710060415,1,1,0.46106,1,2
1603046240,1,1,0,1,1
2103132733,1,1,0,1,1
1609046050,1,1,0.46786,1,2
1709058094,1,1,0,1,1
1709085066,1,1,0,1,1
1606022145,1,1,0.12934,1,1
1802107753,1,1,0,1,1
1701080606,1,1,0,1,1
1703066510,1,1,0,1,1
1903080028,1,1,0,1,1
1606034068,1,1,0,1,1
1608060813,1,1,0,1,1
1706029863,1,1,0,1,1
1908084349,1,1,0,1,1
1808057235,1,1,0,1,1
1701056531,1,1,0,1,1
1607032491,1,1,0,1,1
1801034215,1,1,0,1,1
1611043321,1,1,0,1,1
1709037953,1,1,0,1,1
1612031665,1,1,0,1,1
1909037482,1,1,0,1,1
2202095032,1,1,0,1,1
2208059005,1,1,0,1,1
2001103148,1,1,0.15313,1,1
1609060255,1,1,0,1,1
2208006609,1,1,0.38438,1,2
1809063820,1,1,0,1,1
1804090240,1,1,0,1,1
1604009477,1,1,0,1,1
1602059891,1,1,0,1,1
1802090338,1,1,0.43495,1,2
2206080824,1,1,0,1,1
1802047886,1,1,0.49664,1,2
2209086781,1,1,0.0447,1,1
2210064786,1,1,0,1,1
2206094689,1,1,0,1,1
2003062997,1,1,0,1,1
1602031502,1,1,0,1,1
1909100108,1,1,0,1,1
1704041300,1,1,0,1,1
1607081299,1,1,0,1,1
1701008133,1,1,0,1,1
1907108399,1,1,0,1,1
2105078017,1,1,0,1,1
2206057083,1,1,0,1,1
1605081953,1,1,0,1,1
1910039464,1,1,0,1,1
1610014147,1,1,0,1,1
2001053037,1,1,0,1,1
1910057932,1,1,0,1,1
1702045386,1,1,0.38686,1,2
1609005374,1,1,0,1,1
1805009810,1,1,0,1,1
1608042608,1,1,0,1,1
1809099870,1,1,0,1,1
1610014141,1,1,0,1,1
1909046872,1,1,0,1,1
1708026190,1,1,0,1,1
1909015843,1,1,0,1,1
1611007451,1,1,0,1,1
1607066245,1,1,0,1,1
2003004789,1,1,0,1,1
1610028913,1,1,0,1,1
1709024493,1,1,0,1,1
